order_id,order_date,customer_id,region,category,sub_category,product_name,sales,quantity,discount,profit
ORD-1001,2025-01-05,CUST-001,East,Technology,Phones,Smartphone A,899.00,1,0.10,180.00
ORD-1002,2025-01-06,CUST-002,West,Furniture,Chairs,Ergo Chair X,320.00,2,0.05,52.00
ORD-1003,2025-01-07,CUST-003,South,Office Supplies,Paper,Printer Paper Pack,45.00,5,0.00,12.00
ORD-1004,2025-01-09,CUST-001,East,Technology,Accessories,Wireless Mouse,39.00,1,0.00,14.00
ORD-1005,2025-01-12,CUST-004,Central,Furniture,Tables,Office Desk Z,450.00,1,0.15,40.00
ORD-1006,2025-01-14,CUST-005,West,Technology,Laptops,Laptop Pro 14,1450.00,1,0.08,260.00
ORD-1007,2025-01-17,CUST-006,South,Office Supplies,Binders,Binders Set,62.00,4,0.00,15.00
ORD-1008,2025-02-02,CUST-002,West,Furniture,Chairs,Ergo Chair X,160.00,1,0.05,24.00
ORD-1009,2025-02-04,CUST-007,East,Technology,Phones,Smartphone A,899.00,1,0.12,165.00
ORD-1010,2025-02-06,CUST-003,South,Office Supplies,Storage,Storage Box,78.00,3,0.00,20.00
ORD-1011,2025-02-10,CUST-008,Central,Technology,Accessories,USB-C Hub,85.00,2,0.10,16.00
ORD-1012,2025-02-14,CUST-009,East,Furniture,Bookcases,Bookcase Modern,240.00,1,0.20,18.00
ORD-1013,2025-02-18,CUST-001,East,Technology,Laptops,Laptop Pro 14,1450.00,1,0.10,240.00
ORD-1014,2025-02-22,CUST-010,West,Office Supplies,Paper,Printer Paper Pack,54.00,6,0.00,14.00
ORD-1015,2025-03-01,CUST-011,Central,Technology,Phones,Smartphone Lite,420.00,1,0.05,74.00
ORD-1016,2025-03-03,CUST-012,South,Furniture,Furnishings,Desk Lamp,36.00,2,0.00,9.00
ORD-1017,2025-03-07,CUST-004,Central,Office Supplies,Labels,Shipping Labels,28.00,4,0.00,7.00
ORD-1018,2025-03-10,CUST-013,East,Technology,Accessories,Wireless Keyboard,72.00,1,0.00,22.00
ORD-1019,2025-03-14,CUST-006,South,Furniture,Tables,Office Desk Z,900.00,2,0.18,65.00
ORD-1020,2025-03-20,CUST-014,West,Technology,Laptops,Laptop Air 13,1100.00,1,0.07,190.00
ORD-1021,2025-03-25,CUST-002,West,Office Supplies,Paper,Printer Paper Pack,36.00,4,0.00,9.00
ORD-1022,2025-04-02,CUST-015,East,Furniture,Chairs,Visitor Chair,120.00,2,0.05,21.00
ORD-1023,2025-04-05,CUST-016,Central,Technology,Phones,Smartphone Lite,840.00,2,0.08,140.00
ORD-1024,2025-04-07,CUST-003,South,Office Supplies,Appliances,Shredder Mini,150.00,1,0.10,18.00
ORD-1025,2025-04-09,CUST-017,West,Furniture,Bookcases,Bookcase Modern,480.00,2,0.22,20.00
ORD-1026,2025-04-12,CUST-001,East,Technology,Accessories,USB-C Hub,170.00,4,0.05,35.00
ORD-1027,2025-04-14,CUST-018,South,Office Supplies,Binders,Binders Set,93.00,6,0.00,23.00
ORD-1028,2025-04-18,CUST-019,Central,Furniture,Furnishings,Desk Lamp,54.00,3,0.00,13.00
ORD-1029,2025-04-20,CUST-020,East,Technology,Laptops,Laptop Air 13,2200.00,2,0.09,360.00
ORD-1030,2025-04-22,CUST-004,Central,Office Supplies,Storage,Storage Box,52.00,2,0.00,13.00
